Category: All categories

Time,facebook: (Worldwide)
2021-11-29T21,86
2021-11-29T22,80
2021-11-29T23,80
2021-11-30T00,81
2021-11-30T01,83
2021-11-30T02,79
2021-11-30T03,76
2021-11-30T04,79
2021-11-30T05,79
2021-11-30T06,83
2021-11-30T07,83
2021-11-30T08,85
2021-11-30T09,87
2021-11-30T10,88
2021-11-30T11,89
2021-11-30T12,90
2021-11-30T13,94
2021-11-30T14,95
2021-11-30T15,93
2021-11-30T16,90
2021-11-30T17,91
2021-11-30T18,88
2021-11-30T19,90
2021-11-30T20,86
2021-11-30T21,85
2021-11-30T22,83
2021-11-30T23,81
2021-12-01T00,81
2021-12-01T01,82
2021-12-01T02,79
2021-12-01T03,76
2021-12-01T04,75
2021-12-01T05,77
2021-12-01T06,83
2021-12-01T07,84
2021-12-01T08,83
2021-12-01T09,83
2021-12-01T10,84
2021-12-01T11,87
2021-12-01T12,90
2021-12-01T13,91
2021-12-01T14,93
2021-12-01T15,89
2021-12-01T16,92
2021-12-01T17,92
2021-12-01T18,92
2021-12-01T19,89
2021-12-01T20,87
2021-12-01T21,85
2021-12-01T22,82
2021-12-01T23,82
2021-12-02T00,82
2021-12-02T01,81
2021-12-02T02,79
2021-12-02T03,79
2021-12-02T04,76
2021-12-02T05,81
2021-12-02T06,84
2021-12-02T07,86
2021-12-02T08,86
2021-12-02T09,86
2021-12-02T10,91
2021-12-02T11,89
2021-12-02T12,93
2021-12-02T13,94
2021-12-02T14,94
2021-12-02T15,91
2021-12-02T16,92
2021-12-02T17,88
2021-12-02T18,89
2021-12-02T19,86
2021-12-02T20,87
2021-12-02T21,88
2021-12-02T22,82
2021-12-02T23,82
2021-12-03T00,83
2021-12-03T01,82
2021-12-03T02,81
2021-12-03T03,77
2021-12-03T04,75
2021-12-03T05,79
2021-12-03T06,83
2021-12-03T07,84
2021-12-03T08,87
2021-12-03T09,87
2021-12-03T10,88
2021-12-03T11,92
2021-12-03T12,92
2021-12-03T13,92
2021-12-03T14,95
2021-12-03T15,100
2021-12-03T16,94
2021-12-03T17,92
2021-12-03T18,88
2021-12-03T19,89
2021-12-03T20,88
2021-12-03T21,89
2021-12-03T22,85
2021-12-03T23,82
2021-12-04T00,78
2021-12-04T01,80
2021-12-04T02,78
2021-12-04T03,81
2021-12-04T04,80
2021-12-04T05,80
2021-12-04T06,79
2021-12-04T07,88
2021-12-04T08,89
2021-12-04T09,88
2021-12-04T10,85
2021-12-04T11,89
2021-12-04T12,88
2021-12-04T13,88
2021-12-04T14,93
2021-12-04T15,93
2021-12-04T16,93
2021-12-04T17,92
2021-12-04T18,90
2021-12-04T19,86
2021-12-04T20,88
2021-12-04T21,86
2021-12-04T22,85
2021-12-04T23,84
2021-12-05T00,79
2021-12-05T01,83
2021-12-05T02,82
2021-12-05T03,84
2021-12-05T04,80
2021-12-05T05,82
2021-12-05T06,82
2021-12-05T07,84
2021-12-05T08,89
2021-12-05T09,89
2021-12-05T10,88
2021-12-05T11,94
2021-12-05T12,91
2021-12-05T13,92
2021-12-05T14,93
2021-12-05T15,94
2021-12-05T16,93
2021-12-05T17,91
2021-12-05T18,88
2021-12-05T19,87
2021-12-05T20,86
2021-12-05T21,87
2021-12-05T22,79
2021-12-05T23,80
2021-12-06T00,80
2021-12-06T01,83
2021-12-06T02,81
2021-12-06T03,80
2021-12-06T04,79
2021-12-06T05,78
2021-12-06T06,84
2021-12-06T07,84
2021-12-06T08,86
2021-12-06T09,85
2021-12-06T10,89
2021-12-06T11,89
2021-12-06T12,93
2021-12-06T13,95
2021-12-06T14,96
2021-12-06T15,93
2021-12-06T16,96
2021-12-06T17,89
2021-12-06T18,91
2021-12-06T19,89
2021-12-06T20,88
