Category: All categories

Time,facebook stock: (Worldwide)
2021-11-29T21,55
2021-11-29T22,49
2021-11-29T23,46
2021-11-30T00,35
2021-11-30T01,29
2021-11-30T02,25
2021-11-30T03,20
2021-11-30T04,26
2021-11-30T05,22
2021-11-30T06,29
2021-11-30T07,37
2021-11-30T08,44
2021-11-30T09,71
2021-11-30T10,84
2021-11-30T11,87
2021-11-30T12,82
2021-11-30T13,83
2021-11-30T14,81
2021-11-30T15,83
2021-11-30T16,93
2021-11-30T17,77
2021-11-30T18,77
2021-11-30T19,61
2021-11-30T20,59
2021-11-30T21,57
2021-11-30T22,51
2021-11-30T23,49
2021-12-01T00,35
2021-12-01T01,30
2021-12-01T02,23
2021-12-01T03,22
2021-12-01T04,26
2021-12-01T05,29
2021-12-01T06,31
2021-12-01T07,37
2021-12-01T08,46
2021-12-01T09,73
2021-12-01T10,84
2021-12-01T11,85
2021-12-01T12,87
2021-12-01T13,84
2021-12-01T14,84
2021-12-01T15,96
2021-12-01T16,100
2021-12-01T17,87
2021-12-01T18,87
2021-12-01T19,77
2021-12-01T20,64
2021-12-01T21,61
2021-12-01T22,54
2021-12-01T23,49
2021-12-02T00,42
2021-12-02T01,30
2021-12-02T02,27
2021-12-02T03,24
2021-12-02T04,30
2021-12-02T05,31
2021-12-02T06,34
2021-12-02T07,41
2021-12-02T08,49
2021-12-02T09,77
2021-12-02T10,96
2021-12-02T11,80
2021-12-02T12,85
2021-12-02T13,89
2021-12-02T14,83
2021-12-02T15,86
2021-12-02T16,85
2021-12-02T17,75
2021-12-02T18,78
2021-12-02T19,59
2021-12-02T20,62
2021-12-02T21,59
2021-12-02T22,48
2021-12-02T23,42
2021-12-03T00,35
2021-12-03T01,29
2021-12-03T02,21
2021-12-03T03,23
2021-12-03T04,27
2021-12-03T05,24
2021-12-03T06,29
2021-12-03T07,39
2021-12-03T08,45
2021-12-03T09,72
2021-12-03T10,97
2021-12-03T11,93
2021-12-03T12,96
2021-12-03T13,88
2021-12-03T14,89
2021-12-03T15,93
2021-12-03T16,89
2021-12-03T17,76
2021-12-03T18,72
2021-12-03T19,63
2021-12-03T20,57
2021-12-03T21,50
2021-12-03T22,49
2021-12-03T23,38
2021-12-04T00,35
2021-12-04T01,28
2021-12-04T02,23
2021-12-04T03,21
2021-12-04T04,19
2021-12-04T05,19
2021-12-04T06,18
2021-12-04T07,19
2021-12-04T08,23
2021-12-04T09,24
2021-12-04T10,27
2021-12-04T11,28
2021-12-04T12,27
2021-12-04T13,20
2021-12-04T14,23
2021-12-04T15,26
2021-12-04T16,28
2021-12-04T17,28
2021-12-04T18,29
2021-12-04T19,26
2021-12-04T20,30
2021-12-04T21,31
2021-12-04T22,31
2021-12-04T23,31
2021-12-05T00,27
2021-12-05T01,21
2021-12-05T02,15
2021-12-05T03,15
2021-12-05T04,14
2021-12-05T05,13
2021-12-05T06,13
2021-12-05T07,16
2021-12-05T08,18
2021-12-05T09,19
2021-12-05T10,23
2021-12-05T11,21
2021-12-05T12,21
2021-12-05T13,19
2021-12-05T14,23
2021-12-05T15,22
2021-12-05T16,22
2021-12-05T17,25
2021-12-05T18,29
2021-12-05T19,31
2021-12-05T20,35
2021-12-05T21,36
2021-12-05T22,31
2021-12-05T23,29
2021-12-06T00,25
2021-12-06T01,24
2021-12-06T02,17
2021-12-06T03,18
2021-12-06T04,23
2021-12-06T05,23
2021-12-06T06,30
2021-12-06T07,32
2021-12-06T08,40
2021-12-06T09,70
2021-12-06T10,87
2021-12-06T11,81
2021-12-06T12,76
2021-12-06T13,81
2021-12-06T14,75
2021-12-06T15,78
2021-12-06T16,92
2021-12-06T17,73
2021-12-06T18,71
2021-12-06T19,56
2021-12-06T20,53
